dataset,trigger,next_accept
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,reject_positive,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,reject_positive,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,reject_positive,0.0
chess,reject_positive,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,reject_positive,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,reject_positive,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,reject_positive,1.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,other,1.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,reject_positive,1.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,reject_positive,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,reject_positive,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,reject_positive,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,reject_positive,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,reject_positive,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,other,1.0
chess,reject_positive,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,1.0
chess,other,1.0
chess,reject_positive,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,reject_positive,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,reject_positive,0.0
chess,reject_positive,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,reject_positive,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,other,0.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
chess,other,1.0
chess,other,0.0
chess,reject_positive,0.0
chess,other,0.0
chess,other,1.0
chess,other,1.0
truss,other,0.0
truss,other,0.0
truss,other,1.0
truss,other,0.0
truss,reject_positive,0.0
truss,other,1.0
truss,other,1.0
truss,other,1.0
truss,other,1.0
truss,other,0.0
truss,other,0.0
truss,other,1.0
truss,other,1.0
truss,other,0.0
truss,other,0.0
truss,reject_positive,1.0
truss,other,1.0
truss,other,1.0
truss,other,1.0
truss,other,0.0
truss,other,0.0
truss,other,0.0
truss,other,1.0
truss,other,1.0
truss,other,0.0
truss,other,0.0
truss,other,1.0
truss,other,0.0
truss,other,1.0
truss,other,1.0
